date,campaign_id,channel,country,creative_type,spend,impressions,clicks,installs,tutorial_completion_rate,d1_retention,d7_retention,arpu_d1,arpu_d7,d1_revenue,d7_revenue,d7_roas,ctr,cvr,cpi,model,actual_d7_roas,predicted_d7_roas,prediction_error,absolute_error
2026-01-28,C016,Google Ads,IN,static,952.8,179031,2477,338,0.4000189002574602,0.261122856844083,0.09552995590974882,0.024132015559205747,0.2721738153193426,8.156621259011542,91.9947495779378,0.09655185231613395,0.013835592718579464,0.1364553895841744,2.818934911242603,Linear Regression,0.09655185231613395,0.03851765400679824,0.058034198309335705,0.058034198309335705
2026-02-01,C016,Google Ads,IN,static,1092.33,210255,2437,349,0.4105899523206919,0.27857540668344916,0.11687373042223294,0.023711401248323667,0.2871122323432592,8.27527903566496,100.20216908779747,0.09173272281527604,0.01159068749851371,0.14320886335658597,3.1298853868194842,Linear Regression,0.09173272281527604,0.0346470018185467,0.057085720996729344,0.057085720996729344
2026-01-19,C033,AppLovin,IN,playable,807.28,102200,1827,295,0.6650921167041877,0.334133399181034,0.14307221765338982,0.038891477639397744,0.33006002061926243,11.472985903622334,97.36770608268242,0.1206122258969602,0.017876712328767124,0.16146688560481665,2.736542372881356,Linear Regression,0.1206122258969602,0.06501305625102291,0.055599169645937294,0.055599169645937294
2026-02-16,C033,AppLovin,IN,playable,660.66,67164,1551,228,0.5591892502409488,0.36486793562090103,0.09952789700814632,0.04179801017431905,0.027829589705875762,9.529946319744743,6.345146452939674,0.009604306806717908,0.023092728247275325,0.1470019342359768,2.8976315789473683,Linear Regression,0.009604306806717908,0.0586587909479141,-0.04905448414119619,0.04905448414119619
2026-02-10,C002,Meta,BR,playable,1010.69,88782,1857,334,0.5355077398833245,0.32891147832566797,0.13823232993119708,0.07146564293227381,0.0549791574126621,23.869524739379454,18.36303857582914,0.01816875151204261,0.02091640197337298,0.17985998922994076,3.0260179640718565,Linear Regression,0.01816875151204261,0.06717779836975694,-0.04900904685771433,0.04900904685771433
2026-01-01,C038,AppLovin,IN,video,674.9,86114,1659,240,0.5302535155438439,0.2851580810640467,0.1610166530804627,0.04421228698163285,0.02,10.610948875591884,4.8,0.007112165290467097,0.01926516013656316,0.14466546112115733,2.8120833333333333,Linear Regression,0.007112165290467097,0.05351945460062905,-0.04640728931016195,0.04640728931016195
2026-02-03,C015,Google Ads,IN,video,1021.66,181613,2573,404,0.5392893639372139,0.30147865156990905,0.13132457657792085,0.027578669447795075,0.02,11.14178245690921,8.08,0.007908736250709779,0.014167488010219532,0.15701515740380878,2.528861386138614,Linear Regression,0.007908736250709779,0.052023748837622424,-0.044115012586912646,0.044115012586912646
2026-01-04,C022,TikTok,BR,video,844.02,45549,1327,211,0.4683758310558915,0.3259237480514802,0.13608395973002968,0.07092101259302648,0.31661408780884626,14.964333657128588,66.80557252766656,0.07915206799504801,0.029133460668730377,0.15900527505651846,4.000094786729858,Linear Regression,0.07915206799504801,0.03609744938252073,0.04305461861252728,0.04305461861252728
2026-01-02,C027,Unity Ads,IN,playable,804.34,102346,2090,284,0.5548153589842384,0.41828920821477666,0.1262903132155709,0.039089418267081344,0.06251906923093126,11.101394787851103,17.755415661584475,0.0220746172805832,0.020420925097219236,0.13588516746411483,2.8321830985915493,Linear Regression,0.0220746172805832,0.06484368265812909,-0.04276906537754589,0.04276906537754589
2026-02-26,C007,Meta,IN,playable,463.69,49068,1179,224,0.4721252783103861,0.3445367181957865,0.12925740734821417,0.03609228624668403,0.1881600573041307,8.084672119257222,42.14785283612528,0.0908967292791342,0.024027879677182687,0.18999151823579305,2.070044642857143,Linear Regression,0.0908967292791342,0.05241102161896598,0.03848570766016822,0.03848570766016822
